LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,EXPORT,IMPORT
CAN,TRADEGOODSERV,EXP,PC_GDP,A,2003,36.86583829,32.97397802
CAN,TRADEGOODSERV,EXP,PC_GDP,A,2004,37.32757569,32.86447646
CAN,TRADEGOODSERV,EXP,PC_GDP,A,2005,36.85626657,32.90203223
CAN,TRADEGOODSERV,EXP,PC_GDP,A,2006,35.40174956,32.64905078
CAN,TRADEGOODSERV,EXP,PC_GDP,A,2007,34.22953347,32.05384427
CAN,TRADEGOODSERV,EXP,PC_GDP,A,2008,34.3949848,32.62858312
CAN,TRADEGOODSERV,EXP,PC_GDP,A,2009,28.51583432,29.95855751
CAN,TRADEGOODSERV,EXP,PC_GDP,A,2010,29.16734692,31.04070231
CAN,TRADEGOODSERV,EXP,PC_GDP,A,2011,30.67839192,31.82034685
CAN,TRADEGOODSERV,EXP,PC_GDP,A,2012,30.35309197,32.242594
CAN,TRADEGOODSERV,EXP,PC_GDP,A,2013,30.33197056,31.89916977
CAN,TRADEGOODSERV,EXP,PC_GDP,A,2014,31.73655996,32.64206992
CAN,TRADEGOODSERV,EXP,PC_GDP,A,2015,31.84997696,34.31495834
CAN,TRADEGOODSERV,EXP,PC_GDP,A,2016,31.5025413,33.86107868
CAN,TRADEGOODSERV,EXP,PC_GDP,A,2017,31.45441015,33.6466507
CAN,TRADEGOODSERV,EXP,PC_GDP,A,2018,32.32536035,34.27443613
CAN,TRADEGOODSERV,EXP,PC_GDP,A,2019,32.35269582,33.81878946
CAN,TRADEGOODSERV,EXP,PC_GDP,A,2020,29.68084533,31.9210782
CAN,TRADEGOODSERV,EXP,PC_GDP,A,2021,30.91398771,30.95542828
CAN,TRADEGOODSERV,EXP,PC_GDP,A,2022,33.7947169,33.64593759
FRA,TRADEGOODSERV,EXP,PC_GDP,A,2003,26.11196897,24.68586455
FRA,TRADEGOODSERV,EXP,PC_GDP,A,2004,26.46883632,25.45617156
FRA,TRADEGOODSERV,EXP,PC_GDP,A,2005,27.03305104,26.94765573
FRA,TRADEGOODSERV,EXP,PC_GDP,A,2006,27.93505509,28.16836936
FRA,TRADEGOODSERV,EXP,PC_GDP,A,2007,27.85325751,28.56749907
FRA,TRADEGOODSERV,EXP,PC_GDP,A,2008,28.11938486,29.27769803
FRA,TRADEGOODSERV,EXP,PC_GDP,A,2009,24.83554721,25.62690364
FRA,TRADEGOODSERV,EXP,PC_GDP,A,2010,26.78829984,28.07949124
FRA,TRADEGOODSERV,EXP,PC_GDP,A,2011,28.42133748,30.36923895
FRA,TRADEGOODSERV,EXP,PC_GDP,A,2012,29.20302719,30.49903198
FRA,TRADEGOODSERV,EXP,PC_GDP,A,2013,29.36473787,30.39931721
FRA,TRADEGOODSERV,EXP,PC_GDP,A,2014,29.6666845,30.81211202
FRA,TRADEGOODSERV,EXP,PC_GDP,A,2015,30.59262238,31.15907156
FRA,TRADEGOODSERV,EXP,PC_GDP,A,2016,30.24753718,30.8526052
FRA,TRADEGOODSERV,EXP,PC_GDP,A,2017,30.94863319,32.01321411
FRA,TRADEGOODSERV,EXP,PC_GDP,A,2018,31.71366721,32.72428539
FRA,TRADEGOODSERV,EXP,PC_GDP,A,2019,31.59205541,32.54941778
FRA,TRADEGOODSERV,EXP,PC_GDP,A,2020,27.45022764,29.41359525
FRA,TRADEGOODSERV,EXP,PC_GDP,A,2021,29.44875183,31.39091596
FRA,TRADEGOODSERV,EXP,PC_GDP,A,2022,34.01277399,38.13073913
DEU,TRADEGOODSERV,EXP,PC_GDP,A,2003,32.81171295,29.03760677
DEU,TRADEGOODSERV,EXP,PC_GDP,A,2004,35.71336386,30.51283525
DEU,TRADEGOODSERV,EXP,PC_GDP,A,2005,38.05957235,32.85914059
DEU,TRADEGOODSERV,EXP,PC_GDP,A,2006,41.43290791,36.01682124
DEU,TRADEGOODSERV,EXP,PC_GDP,A,2007,43.3227581,36.5516593
DEU,TRADEGOODSERV,EXP,PC_GDP,A,2008,43.79919026,37.72561447
DEU,TRADEGOODSERV,EXP,PC_GDP,A,2009,38.11990694,33.10880596
DEU,TRADEGOODSERV,EXP,PC_GDP,A,2010,42.56547341,37.30315083
DEU,TRADEGOODSERV,EXP,PC_GDP,A,2011,45.05713628,40.14898499
DEU,TRADEGOODSERV,EXP,PC_GDP,A,2012,46.30712014,40.20693474
DEU,TRADEGOODSERV,EXP,PC_GDP,A,2013,45.41867786,39.66019884
DEU,TRADEGOODSERV,EXP,PC_GDP,A,2014,45.61926331,39.00083008
DEU,TRADEGOODSERV,EXP,PC_GDP,A,2015,46.92073836,39.32548626
DEU,TRADEGOODSERV,EXP,PC_GDP,A,2016,46.07326285,38.69638311
DEU,TRADEGOODSERV,EXP,PC_GDP,A,2017,47.16304068,40.07416227
DEU,TRADEGOODSERV,EXP,PC_GDP,A,2018,47.30885914,41.2110119
DEU,TRADEGOODSERV,EXP,PC_GDP,A,2019,47.12758088,41.19080858
DEU,TRADEGOODSERV,EXP,PC_GDP,A,2020,43.47697967,37.67037926
DEU,TRADEGOODSERV,EXP,PC_GDP,A,2021,47.2795201,41.88157404
DEU,TRADEGOODSERV,EXP,PC_GDP,A,2022,50.92392973,48.95641004
ITA,TRADEGOODSERV,EXP,PC_GDP,A,2003,23.30219291,22.84665187
ITA,TRADEGOODSERV,EXP,PC_GDP,A,2004,24.00982842,23.42050197
ITA,TRADEGOODSERV,EXP,PC_GDP,A,2005,24.60109238,24.69991838
ITA,TRADEGOODSERV,EXP,PC_GDP,A,2006,26.17348843,26.99469075
ITA,TRADEGOODSERV,EXP,PC_GDP,A,2007,27.36104225,27.70041338
ITA,TRADEGOODSERV,EXP,PC_GDP,A,2008,26.86277469,27.6301011
ITA,TRADEGOODSERV,EXP,PC_GDP,A,2009,22.39916173,23.01960005
ITA,TRADEGOODSERV,EXP,PC_GDP,A,2010,25.07404985,26.93213852
ITA,TRADEGOODSERV,EXP,PC_GDP,A,2011,26.87246347,28.27305899
ITA,TRADEGOODSERV,EXP,PC_GDP,A,2012,28.37924284,27.27547801
ITA,TRADEGOODSERV,EXP,PC_GDP,A,2013,28.63324308,26.23433632
ITA,TRADEGOODSERV,EXP,PC_GDP,A,2014,29.10882819,26.21328696
ITA,TRADEGOODSERV,EXP,PC_GDP,A,2015,29.71598237,26.70219379
ITA,TRADEGOODSERV,EXP,PC_GDP,A,2016,29.32789075,26.03971207
ITA,TRADEGOODSERV,EXP,PC_GDP,A,2017,30.73373332,27.87044263
ITA,TRADEGOODSERV,EXP,PC_GDP,A,2018,31.3535542,28.94999704
ITA,TRADEGOODSERV,EXP,PC_GDP,A,2019,31.60241973,28.2765605
ITA,TRADEGOODSERV,EXP,PC_GDP,A,2020,29.43617352,25.83684879
ITA,TRADEGOODSERV,EXP,PC_GDP,A,2021,32.69340172,30.4152924
ITA,TRADEGOODSERV,EXP,PC_GDP,A,2022,37.14961436,38.6903652
JPN,TRADEGOODSERV,EXP,PC_GDP,A,2003,11.46580158,9.860323691
JPN,TRADEGOODSERV,EXP,PC_GDP,A,2004,12.78626462,10.8780888
JPN,TRADEGOODSERV,EXP,PC_GDP,A,2005,13.81589572,12.41405886
JPN,TRADEGOODSERV,EXP,PC_GDP,A,2006,15.65737405,14.35900205
JPN,TRADEGOODSERV,EXP,PC_GDP,A,2007,17.28912737,15.52745068
JPN,TRADEGOODSERV,EXP,PC_GDP,A,2008,17.23554338,16.89393316
JPN,TRADEGOODSERV,EXP,PC_GDP,A,2009,12.41956575,11.97060079
JPN,TRADEGOODSERV,EXP,PC_GDP,A,2010,14.91850345,13.57996924
JPN,TRADEGOODSERV,EXP,PC_GDP,A,2011,14.77446226,15.42049847
JPN,TRADEGOODSERV,EXP,PC_GDP,A,2012,14.41477461,16.0561363
JPN,TRADEGOODSERV,EXP,PC_GDP,A,2013,15.78415673,18.19461192
JPN,TRADEGOODSERV,EXP,PC_GDP,A,2014,17.41865535,20.01277922
JPN,TRADEGOODSERV,EXP,PC_GDP,A,2015,17.43675984,17.99064852
JPN,TRADEGOODSERV,EXP,PC_GDP,A,2016,16.05796924,15.25227761
JPN,TRADEGOODSERV,EXP,PC_GDP,A,2017,17.5914391,16.83177447
JPN,TRADEGOODSERV,EXP,PC_GDP,A,2018,18.3149456,18.2949862
JPN,TRADEGOODSERV,EXP,PC_GDP,A,2019,17.46352643,17.75289168
JPN,TRADEGOODSERV,EXP,PC_GDP,A,2020,15.5494225,15.81854648
JPN,TRADEGOODSERV,EXP,PC_GDP,A,2021,18.20157767,18.73894775
GBR,TRADEGOODSERV,EXP,PC_GDP,A,2003,23.97070673,26.14777621
GBR,TRADEGOODSERV,EXP,PC_GDP,A,2004,23.97976455,26.35361412
GBR,TRADEGOODSERV,EXP,PC_GDP,A,2005,25.17727735,27.36147718
GBR,TRADEGOODSERV,EXP,PC_GDP,A,2006,27.43236353,29.36550345
GBR,TRADEGOODSERV,EXP,PC_GDP,A,2007,25.41920258,27.41494328
GBR,TRADEGOODSERV,EXP,PC_GDP,A,2008,27.30851545,29.0967727
GBR,TRADEGOODSERV,EXP,PC_GDP,A,2009,26.62921537,27.96127541
GBR,TRADEGOODSERV,EXP,PC_GDP,A,2010,28.55962704,30.24700738
GBR,TRADEGOODSERV,EXP,PC_GDP,A,2011,31.09263188,32.06456393
GBR,TRADEGOODSERV,EXP,PC_GDP,A,2012,30.37453575,31.51541435
GBR,TRADEGOODSERV,EXP,PC_GDP,A,2013,30.04921741,31.60631006
GBR,TRADEGOODSERV,EXP,PC_GDP,A,2014,28.38996858,30.46734882
GBR,TRADEGOODSERV,EXP,PC_GDP,A,2015,27.63032549,29.28269577
GBR,TRADEGOODSERV,EXP,PC_GDP,A,2016,28.6504713,30.60574825
GBR,TRADEGOODSERV,EXP,PC_GDP,A,2017,30.67244826,32.12711894
GBR,TRADEGOODSERV,EXP,PC_GDP,A,2018,31.23490667,32.76488938
GBR,TRADEGOODSERV,EXP,PC_GDP,A,2019,31.25760606,32.87254707
GBR,TRADEGOODSERV,EXP,PC_GDP,A,2020,29.23718972,28.87896913
GBR,TRADEGOODSERV,EXP,PC_GDP,A,2021,28.81996048,30.05502487
GBR,TRADEGOODSERV,EXP,PC_GDP,A,2022,32.72264633,36.20039514
USA,TRADEGOODSERV,EXP,PC_GDP,A,2003,9.035652405,13.59164488
USA,TRADEGOODSERV,EXP,PC_GDP,A,2004,9.628747873,14.81930878
USA,TRADEGOODSERV,EXP,PC_GDP,A,2005,9.98205641,15.65650093
USA,TRADEGOODSERV,EXP,PC_GDP,A,2006,10.64138951,16.3338963
USA,TRADEGOODSERV,EXP,PC_GDP,A,2007,11.4637893,16.54822627
USA,TRADEGOODSERV,EXP,PC_GDP,A,2008,12.42584392,17.4419436
USA,TRADEGOODSERV,EXP,PC_GDP,A,2009,10.93221906,13.82730858
USA,TRADEGOODSERV,EXP,PC_GDP,A,2010,12.34135625,15.87852856
USA,TRADEGOODSERV,EXP,PC_GDP,A,2011,13.56346465,17.2790159
USA,TRADEGOODSERV,EXP,PC_GDP,A,2012,13.64405127,17.03778831
USA,TRADEGOODSERV,EXP,PC_GDP,A,2013,13.57807034,16.42428788
USA,TRADEGOODSERV,EXP,PC_GDP,A,2014,13.54595407,16.45203404
USA,TRADEGOODSERV,EXP,PC_GDP,A,2015,12.46099162,15.35123843
USA,TRADEGOODSERV,EXP,PC_GDP,A,2016,11.93954182,14.64746442
USA,TRADEGOODSERV,EXP,PC_GDP,A,2017,12.26173783,15.01742256
USA,TRADEGOODSERV,EXP,PC_GDP,A,2018,12.3609888,15.24938955
USA,TRADEGOODSERV,EXP,PC_GDP,A,2019,11.87247018,14.57947944
USA,TRADEGOODSERV,EXP,PC_GDP,A,2020,10.20212556,13.18163589
USA,TRADEGOODSERV,EXP,PC_GDP,A,2021,10.89272647,14.58867331